Takım (IOC kodu) Toplam,№ Yaz 27,01 ! 4808,02 ! 4776,03 ! 5128,Toplam 14712,№ Kış 21,01 ! 860,02 ! 860,03 ! 849,Toplam 2569,№ Tüm 48,01 ! 5668,02 ! 5636,03 ! 5977,Tüm toplam 17281
Afganistan (AFG),13,0,0,2,2,0,0,0,0,0,13,0,0,2,2
Cezayir (ALG),12,5,2,8,15,3,0,0,0,0,15,5,2,8,15
Arjantin (ARG),23,18,24,28,70,17,0,0,0,0,40,18,24,28,70
Ermenistan (ARM),5,1,2,9,12,5,0,0,0,0,10,1,2,9,12
Avustralasya (ANZ) [ANZ],2,3,4,5,12,0,0,0,0,0,2,3,4,5,12
Avustralya (AUS) [AUS] [Z],25,138,153,177,468,17,5,1,3,9,42,143,154,180,477
Avusturya (AUT),26,18,33,35,86,21,55,70,76,201,47,73,103,111,287
Azerbaycan (AZE),5,6,5,15,26,4,0,0,0,0,9,6,5,15,26
Bahamalar (BAH),15,5,2,5,12,0,0,0,0,0,15,5,2,5,12
Bahreyn (BRN),8,0,0,1,1,0,0,0,0,0,8,0,0,1,1
Barbados (BAR) [BAR],11,0,0,1,1,0,0,0,0,0,11,0,0,1,1
Beyaz Rusya (BLR),5,12,24,40,76,5,1,4,4,9,10,13,28,44,85
Belçika (BEL),25,37,52,53,142,19,1,1,3,5,44,38,53,56,147
Bermuda (BER),17,0,0,1,1,6,0,0,0,0,23,0,0,1,1
Bohemya (BOH) [BOH] [Z],3,0,1,3,4,0,0,0,0,0,3,0,1,3,4
Botsvana (BOT),9,0,1,0,1,0,0,0,0,0,9,0,1,0,1
Brezilya (BRA),21,23,30,55,108,6,0,0,0,0,27,23,30,55,108
İngiliz Batı Hint Adaları (BWI) [BWI],1,0,0,2,2,0,0,0,0,0,1,0,0,2,2
Bulgaristan (BUL) [H],19,51,85,78,214,18,1,2,3,6,37,52,87,81,220
Burundi (BDI),5,1,0,0,1,0,0,0,0,0,5,1,0,0,1
Kamerun (CMR),13,3,1,1,5,1,0,0,0,0,14,3,1,1,5
Kanada (CAN),25,59,99,120,278,21,52,45,48,145,46,111,144,168,423
Şili (CHI) [I],22,2,7,4,13,15,0,0,0,0,37,2,7,4,13
Çin (CHN) [CHN],9,201,144,128,473,9,9,18,17,44,18,210,162,145,517
Kolombiya (COL),18,2,6,11,19,1,0,0,0,0,19,2,6,11,19
Kosta Rika (CRC),14,1,1,2,4,6,0,0,0,0,20,1,1,2,4
Fildişi Sahili (CIV) [CIV],12,0,1,0,1,0,0,0,0,0,12,0,1,0,1
Hırvatistan (CRO),6,6,7,10,23,6,4,5,1,10,12,10,12,11,33
Küba (CUB) [Z],19,72,67,69,208,0,0,0,0,0,19,72,67,69,208
Kıbrıs Cumhuriyeti (CYP),9,0,1,0,1,9,0,0,0,0,18,0,1,0,1
